temperature-maximale,temperature-minimale,vitesse-du-vent,temperature-du-vent,precipitations,humidite,visibilite,couverture-nuageuse,indice-de-chaleur,point-de-rosee,pression,heure-du-lever-du-soleil,heure-du-coucher-du-soleil,duree-du-jour,Date
29°,27°,20km/h,27°,0mm,79%,10km,2%,31,24°C,1014hPa,06:32:00,18:25:00,11:53:0,2020/01/26
29°,27°,21km/h,27°,,75%,10km,3%,32,23°C,1014hPa,06:32:00,18:25:00,11:53:0,2020/01/27
29°,26°,18km/h,26°,,80%,10km,15%,32,23°C,1014hPa,06:32:00,18:25:00,11:53:0,2020/01/28
28°,27°,21km/h,27°,0mm,82%,10km,8%,32,24°C,1014hPa,06:32:00,18:26:00,11:54:0,2020/01/29
29°,27°,15km/h,27°,1mm,84%,9.875km,47%,32,25°C,1014hPa,06:32:00,18:26:00,11:54:0,2020/01/30
28°,27°,19km/h,27°,0mm,87%,10km,13%,32,24°C,1014hPa,06:32:00,18:26:00,11:54:0,2020/01/31
36°,21°,5km/h,21°,,99%,8.75km,31%,36,21°C,1014hPa,06:26:00,18:12:00,11:46:0,2020/01/01
35°,18°,8km/h,18°,,91%,10km,4%,33,17°C,1015hPa,06:26:00,18:12:00,11:46:0,2020/01/02
34°,18°,9km/h,18°,,28%,10km,4%,33,4°C,1016hPa,06:27:00,18:13:00,11:46:0,2020/01/03
35°,18°,8km/h,18°,,20%,10km,4%,35,7°C,1015hPa,06:27:00,18:13:00,11:46:0,2020/01/04
37°,17°,5km/h,17°,,44%,10km,1%,37,6°C,1014hPa,06:28:00,18:14:00,11:46:0,2020/01/05
37°,17°,5km/h,17°,,90%,10km,3%,38,17°C,1013hPa,06:28:00,18:14:00,11:46:0,2020/01/06
37°,18°,6km/h,18°,,96%,10km,11%,37,18°C,1012hPa,06:28:00,18:15:00,11:47:0,2020/01/07
38°,19°,6km/h,19°,,97%,8.75km,31%,38,19°C,1013hPa,06:29:00,18:15:00,11:46:0,2020/01/08
40°,20°,5km/h,20°,,92%,10km,23%,40,19°C,1013hPa,06:29:00,18:16:00,11:47:0,2020/01/09
37°,21°,7km/h,21°,0mm,99%,8.75km,33%,38,21°C,1014hPa,06:29:00,18:16:00,11:47:0,2020/01/10
32°,23°,8km/h,23°,7mm,95%,7.125km,79%,36,22°C,1015hPa,06:30:00,18:17:00,11:47:0,2020/01/11
38°,21°,3km/h,21°,1mm,98%,7.75km,53%,42,21°C,1014hPa,06:30:00,18:17:00,11:47:0,2020/01/12
37°,22°,4km/h,22°,0mm,94%,9km,34%,41,21°C,1012hPa,06:30:00,18:18:00,11:48:0,2020/01/13
37°,22°,9km/h,22°,4mm,99%,8.5km,49%,37,23°C,1012hPa,06:31:00,18:18:00,11:47:0,2020/01/14
36°,21°,5km/h,21°,0mm,98%,7.75km,32%,37,21°C,1013hPa,06:31:00,18:19:00,11:48:0,2020/01/15
38°,21°,8km/h,21°,0mm,100%,7.5km,31%,38,21°C,1014hPa,06:31:00,18:19:00,11:48:0,2020/01/16
36°,22°,5km/h,22°,1mm,95%,7.75km,50%,38,22°C,1015hPa,06:32:00,18:20:00,11:48:0,2020/01/17
38°,20°,5km/h,20°,0mm,99%,7.5km,39%,38,21°C,1015hPa,06:32:00,18:20:00,11:48:0,2020/01/18
39°,20°,4km/h,20°,0mm,99%,7.5km,44%,39,21°C,1014hPa,06:32:00,18:20:00,11:48:0,2020/01/19
33°,22°,7km/h,22°,1mm,99%,7.375km,66%,36,22°C,1012hPa,06:32:00,18:21:00,11:49:0,2020/01/20
38°,21°,6km/h,21°,1mm,99%,8.875km,46%,42,22°C,1013hPa,06:32:00,18:21:00,11:49:0,2020/01/21
39°,22°,6km/h,22°,0mm,99%,7.75km,40%,43,22°C,1013hPa,06:33:00,18:22:00,11:49:0,2020/01/22
39°,22°,6km/h,22°,0mm,99%,8.75km,37%,42,22°C,1013hPa,06:33:00,18:22:00,11:49:0,2020/01/23
36°,22°,4km/h,22°,1mm,99%,7.5km,52%,38,23°C,1013hPa,06:33:00,18:22:00,11:49:0,2020/01/24
39°,22°,5km/h,22°,0mm,100%,8.75km,44%,39,22°C,1014hPa,06:33:00,18:23:00,11:50:0,2020/01/25
40°,20°,3km/h,20°,,99%,7.5km,32%,40,21°C,1015hPa,06:33:00,18:23:00,11:50:0,2020/01/26
39°,19°,5km/h,19°,,98%,7.75km,19%,40,19°C,1014hPa,06:33:00,18:23:00,11:50:0,2020/01/27
38°,20°,5km/h,20°,,99%,8.75km,32%,40,20°C,1014hPa,06:33:00,18:24:00,11:51:0,2020/01/28
41°,21°,5km/h,21°,,96%,9km,13%,42,20°C,1014hPa,06:33:00,18:24:00,11:51:0,2020/01/29
41°,21°,6km/h,21°,,99%,7.5km,36%,41,21°C,1015hPa,06:33:00,18:24:00,11:51:0,2020/01/30
39°,20°,5km/h,20°,,99%,7.5km,37%,40,21°C,1015hPa,06:33:00,18:25:00,11:52:0,2020/01/31
32°,26°,14km/h,26°,3mm,86%,9.625km,59%,37,24°C,1013hPa,06:21:00,18:11:00,11:50:0,2020/01/01
33°,25°,9km/h,25°,0mm,82%,10km,10%,35,24°C,1014hPa,06:22:00,18:12:00,11:50:0,2020/01/02
35°,24°,10km/h,24°,1mm,90%,10km,21%,36,23°C,1015hPa,06:22:00,18:12:00,11:50:0,2020/01/03
34°,22°,13km/h,22°,0mm,44%,10km,5%,35,16°C,1015hPa,06:23:00,18:13:00,11:50:0,2020/01/04
34°,23°,13km/h,23°,,66%,10km,0%,35,21°C,1013hPa,06:23:00,18:13:00,11:50:0,2020/01/05
32°,25°,17km/h,25°,,79%,10km,5%,34,22°C,1012hPa,06:24:00,18:14:00,11:50:0,2020/01/06
32°,24°,18km/h,24°,,84%,10km,8%,34,23°C,1012hPa,06:24:00,18:14:00,11:50:0,2020/01/07
31°,24°,20km/h,24°,,88%,10km,19%,35,23°C,1013hPa,06:24:00,18:15:00,11:51:0,2020/01/08
32°,24°,18km/h,24°,,88%,10km,12%,35,23°C,1013hPa,06:25:00,18:15:00,11:50:0,2020/01/09
30°,25°,16km/h,25°,0mm,89%,10km,28%,34,23°C,1014hPa,06:25:00,18:16:00,11:51:0,2020/01/10
31°,25°,16km/h,25°,1mm,91%,9.875km,43%,35,24°C,1014hPa,06:25:00,18:16:00,11:51:0,2020/01/11
32°,25°,17km/h,25°,1mm,88%,9.875km,38%,36,23°C,1013hPa,06:26:00,18:17:00,11:51:0,2020/01/12
33°,25°,15km/h,25°,1mm,88%,9.625km,42%,37,23°C,1012hPa,06:26:00,18:17:00,11:51:0,2020/01/13
31°,26°,13km/h,26°,17mm,89%,8.75km,65%,35,24°C,1011hPa,06:26:00,18:18:00,11:52:0,2020/01/14
30°,26°,12km/h,26°,2mm,89%,9.75km,33%,34,24°C,1012hPa,06:27:00,18:18:00,11:51:0,2020/01/15
34°,25°,11km/h,25°,1mm,93%,10km,29%,37,24°C,1014hPa,06:27:00,18:18:00,11:51:0,2020/01/16
32°,25°,12km/h,25°,1mm,93%,9.875km,62%,36,24°C,1014hPa,06:27:00,18:19:00,11:52:0,2020/01/17
31°,25°,9km/h,25°,3mm,93%,9.75km,49%,36,24°C,1014hPa,06:27:00,18:19:00,11:52:0,2020/01/18
30°,25°,12km/h,25°,3mm,91%,9.75km,54%,35,24°C,1013hPa,06:28:00,18:20:00,11:52:0,2020/01/19
30°,26°,15km/h,26°,2mm,89%,9.625km,57%,34,24°C,1012hPa,06:28:00,18:20:00,11:52:0,2020/01/20
31°,26°,16km/h,26°,1mm,87%,10km,27%,35,23°C,1013hPa,06:28:00,18:20:00,11:52:0,2020/01/21
31°,26°,15km/h,26°,0mm,86%,10km,15%,35,24°C,1013hPa,06:28:00,18:21:00,11:53:0,2020/01/22
31°,26°,12km/h,26°,1mm,89%,9.875km,34%,36,24°C,1013hPa,06:28:00,18:21:00,11:53:0,2020/01/23
31°,26°,10km/h,26°,1mm,90%,9.875km,49%,35,24°C,1012hPa,06:29:00,18:21:00,11:52:0,2020/01/24
32°,26°,17km/h,26°,1mm,89%,10km,20%,36,24°C,1013hPa,06:29:00,18:22:00,11:53:0,2020/01/25
33°,25°,15km/h,25°,0mm,85%,10km,1%,36,24°C,1014hPa,06:29:00,18:22:00,11:53:0,2020/01/26
32°,25°,17km/h,25°,,83%,10km,2%,34,22°C,1014hPa,06:29:00,18:22:00,11:53:0,2020/01/27
31°,25°,17km/h,25°,,85%,10km,18%,34,23°C,1014hPa,06:29:00,18:23:00,11:54:0,2020/01/28
32°,25°,18km/h,25°,0mm,89%,10km,7%,36,24°C,1014hPa,06:29:00,18:23:00,11:54:0,2020/01/29
30°,25°,11km/h,25°,1mm,90%,9.875km,48%,34,25°C,1014hPa,06:29:00,18:23:00,11:54:0,2020/01/30
31°,25°,17km/h,25°,1mm,91%,10km,33%,35,24°C,1014hPa,06:29:00,18:24:00,11:55:0,2020/01/31
34°,19°,14km/h,19°,,22%,10km,1%,34,,1015hPa,06:24:00,18:05:00,11:41:0,2020/01/01
33°,18°,17km/h,18°,,18%,10km,0%,32,,1016hPa,06:25:00,18:05:00,11:40:0,2020/01/02
33°,18°,18km/h,18°,,17%,10km,3%,33,,1017hPa,06:25:00,18:06:00,11:41:0,2020/01/03
34°,18°,15km/h,18°,,15%,10km,3%,35,0°C,1016hPa,06:26:00,18:06:00,11:40:0,2020/01/04
38°,18°,12km/h,18°,,20%,10km,1%,39,3°C,1014hPa,06:26:00,18:07:00,11:41:0,2020/01/05
38°,19°,4km/h,19°,,36%,10km,2%,37,7°C,1013hPa,06:26:00,18:07:00,11:41:0,2020/01/06
38°,20°,6km/h,20°,,39%,10km,7%,37,8°C,1012hPa,06:27:00,18:08:00,11:41:0,2020/01/07
37°,20°,10km/h,20°,,62%,10km,10%,37,15°C,1013hPa,06:27:00,18:08:00,11:41:0,2020/01/08
40°,23°,6km/h,23°,,47%,10km,13%,42,14°C,1013hPa,06:27:00,18:09:00,11:42:0,2020/01/09
37°,21°,13km/h,21°,0mm,88%,10km,7%,36,19°C,1014hPa,06:28:00,18:09:00,11:41:0,2020/01/10
34°,23°,14km/h,23°,1mm,88%,10km,46%,35,21°C,1015hPa,06:28:00,18:10:00,11:42:0,2020/01/11
37°,21°,9km/h,21°,0mm,92%,10km,32%,39,20°C,1014hPa,06:28:00,18:10:00,11:42:0,2020/01/12
37°,24°,13km/h,24°,,56%,10km,13%,37,16°C,1013hPa,06:29:00,18:11:00,11:42:0,2020/01/13
36°,21°,14km/h,21°,,27%,10km,5%,36,4°C,1013hPa,06:29:00,18:11:00,11:42:0,2020/01/14
37°,20°,11km/h,20°,,69%,10km,4%,37,14°C,1013hPa,06:29:00,18:11:00,11:42:0,2020/01/15
37°,21°,14km/h,21°,,29%,10km,2%,36,3°C,1014hPa,06:29:00,18:12:00,11:43:0,2020/01/16
37°,20°,8km/h,20°,,30%,10km,3%,38,4°C,1015hPa,06:30:00,18:12:00,11:42:0,2020/01/17
36°,21°,12km/h,21°,,34%,10km,1%,36,4°C,1015hPa,06:30:00,18:13:00,11:43:0,2020/01/18
37°,19°,10km/h,19°,,25%,10km,1%,37,1°C,1014hPa,06:30:00,18:13:00,11:43:0,2020/01/19
35°,19°,9km/h,19°,0mm,89%,10km,21%,35,20°C,1013hPa,06:30:00,18:14:00,11:44:0,2020/01/20
37°,21°,12km/h,21°,1mm,93%,10km,42%,38,20°C,1013hPa,06:30:00,18:14:00,11:44:0,2020/01/21
39°,22°,8km/h,22°,0mm,95%,9km,32%,42,21°C,1013hPa,06:30:00,18:15:00,11:45:0,2020/01/22
38°,21°,9km/h,21°,,81%,10km,3%,37,19°C,1013hPa,06:31:00,18:15:00,11:44:0,2020/01/23
37°,21°,10km/h,21°,,37%,10km,2%,37,10°C,1013hPa,06:31:00,18:15:00,11:44:0,2020/01/24
37°,19°,11km/h,19°,,33%,10km,0%,35,3°C,1015hPa,06:31:00,18:16:00,11:45:0,2020/01/25
39°,18°,6km/h,18°,,58%,10km,,39,17°C,1015hPa,06:31:00,18:16:00,11:45:0,2020/01/26
37°,18°,7km/h,18°,,41%,10km,0%,39,13°C,1015hPa,06:31:00,18:16:00,11:45:0,2020/01/27
39°,18°,10km/h,18°,,89%,10km,6%,39,19°C,1015hPa,06:31:00,18:17:00,11:46:0,2020/01/28
38°,20°,8km/h,20°,,58%,10km,2%,39,15°C,1015hPa,06:31:00,18:17:00,11:46:0,2020/01/29
37°,20°,12km/h,20°,,20%,10km,4%,38,1°C,1015hPa,06:31:00,18:17:00,11:46:0,2020/01/30
39°,18°,13km/h,18°,,66%,10km,2%,39,18°C,1015hPa,06:31:00,18:18:00,11:47:0,2020/01/31
34°,21°,12km/h,21°,,26%,10km,4%,32,3°C,1015hPa,06:33:00,18:14:00,11:41:0,2020/01/01
33°,21°,15km/h,21°,,22%,10km,0%,31,3°C,1015hPa,06:33:00,18:14:00,11:41:0,2020/01/02
33°,19°,16km/h,19°,,20%,10km,4%,31,0°C,1017hPa,06:33:00,18:15:00,11:42:0,2020/01/03
34°,19°,15km/h,19°,,15%,10km,3%,32,2°C,1016hPa,06:34:00,18:15:00,11:41:0,2020/01/04
38°,20°,10km/h,20°,,16%,10km,1%,39,4°C,1015hPa,06:34:00,18:16:00,11:42:0,2020/01/05
38°,22°,5km/h,22°,,33%,10km,2%,37,7°C,1013hPa,06:35:00,18:16:00,11:41:0,2020/01/06
37°,23°,7km/h,23°,,34%,10km,4%,36,9°C,1013hPa,06:35:00,18:17:00,11:42:0,2020/01/07
38°,21°,6km/h,21°,,68%,10km,9%,37,16°C,1013hPa,06:35:00,18:17:00,11:42:0,2020/01/08
39°,23°,8km/h,23°,,62%,10km,15%,38,17°C,1013hPa,06:36:00,18:18:00,11:42:0,2020/01/09
38°,23°,12km/h,23°,0mm,79%,10km,24%,39,20°C,1014hPa,06:36:00,18:18:00,11:42:0,2020/01/10
34°,23°,9km/h,23°,1mm,89%,10km,45%,35,21°C,1015hPa,06:36:00,18:19:00,11:43:0,2020/01/11
37°,23°,9km/h,23°,0mm,83%,10km,32%,39,20°C,1014hPa,06:37:00,18:19:00,11:42:0,2020/01/12
37°,25°,12km/h,25°,,71%,10km,12%,35,19°C,1013hPa,06:37:00,18:20:00,11:43:0,2020/01/13
36°,24°,14km/h,24°,,52%,10km,5%,34,14°C,1013hPa,06:37:00,18:20:00,11:43:0,2020/01/14
37°,23°,9km/h,23°,,62%,10km,6%,36,15°C,1013hPa,06:37:00,18:21:00,11:44:0,2020/01/15
37°,22°,12km/h,22°,,43%,10km,2%,36,12°C,1014hPa,06:38:00,18:21:00,11:43:0,2020/01/16
38°,21°,10km/h,21°,,70%,10km,4%,38,20°C,1015hPa,06:38:00,18:22:00,11:44:0,2020/01/17
36°,23°,8km/h,23°,,73%,10km,7%,35,20°C,1015hPa,06:38:00,18:22:00,11:44:0,2020/01/18
38°,23°,7km/h,23°,,64%,10km,2%,38,20°C,1014hPa,06:38:00,18:23:00,11:45:0,2020/01/19
36°,21°,10km/h,21°,0mm,88%,10km,28%,36,21°C,1012hPa,06:38:00,18:23:00,11:45:0,2020/01/20
36°,23°,9km/h,23°,1mm,87%,9.875km,31%,37,20°C,1013hPa,06:39:00,18:23:00,11:44:0,2020/01/21
35°,23°,11km/h,23°,1mm,88%,9.875km,51%,38,21°C,1013hPa,06:39:00,18:24:00,11:45:0,2020/01/22
38°,24°,12km/h,24°,0mm,86%,10km,13%,39,22°C,1013hPa,06:39:00,18:24:00,11:45:0,2020/01/23
37°,23°,14km/h,23°,,92%,10km,20%,36,22°C,1013hPa,06:39:00,18:25:00,11:46:0,2020/01/24
37°,24°,11km/h,24°,,79%,10km,3%,36,20°C,1014hPa,06:39:00,18:25:00,11:46:0,2020/01/25
36°,21°,9km/h,21°,,84%,10km,13%,35,20°C,1015hPa,06:39:00,18:25:00,11:46:0,2020/01/26
40°,22°,6km/h,22°,,67%,10km,9%,42,19°C,1015hPa,06:39:00,18:26:00,11:47:0,2020/01/27
37°,21°,8km/h,21°,,92%,10km,22%,38,20°C,1014hPa,06:39:00,18:26:00,11:47:0,2020/01/28
39°,24°,8km/h,24°,,79%,10km,4%,39,21°C,1014hPa,06:39:00,18:26:00,11:47:0,2020/01/29
37°,23°,10km/h,23°,,55%,10km,4%,36,18°C,1015hPa,06:39:00,18:27:00,11:48:0,2020/01/30
38°,21°,9km/h,21°,,68%,10km,9%,38,21°C,1015hPa,06:39:00,18:27:00,11:48:0,2020/01/31
34°,17°,16km/h,17°,,19%,10km,1%,32,,1015hPa,06:37:00,18:11:00,11:34:0,2020/01/01
33°,16°,17km/h,16°,,19%,10km,1%,31,,1016hPa,06:37:00,18:12:00,11:35:0,2020/01/02
32°,16°,17km/h,16°,,22%,10km,3%,30,,1017hPa,06:37:00,18:12:00,11:35:0,2020/01/03
33°,14°,15km/h,13°,,18%,10km,0%,34,,1018hPa,06:38:00,18:13:00,11:35:0,2020/01/04
37°,14°,13km/h,14°,,19%,10km,1%,37,0°C,1015hPa,06:38:00,18:13:00,11:35:0,2020/01/05
38°,17°,10km/h,17°,,21%,10km,1%,38,1°C,1014hPa,06:39:00,18:14:00,11:35:0,2020/01/06
40°,18°,8km/h,18°,,23%,10km,2%,42,4°C,1013hPa,06:39:00,18:14:00,11:35:0,2020/01/07
38°,19°,10km/h,19°,,27%,10km,4%,37,4°C,1014hPa,06:39:00,18:15:00,11:36:0,2020/01/08
40°,22°,5km/h,22°,,36%,10km,6%,40,8°C,1013hPa,06:40:00,18:16:00,11:36:0,2020/01/09
37°,22°,10km/h,22°,,37%,10km,6%,36,8°C,1014hPa,06:40:00,18:16:00,11:36:0,2020/01/10
39°,21°,9km/h,21°,,33%,10km,21%,39,15°C,1016hPa,06:40:00,18:17:00,11:37:0,2020/01/11
39°,22°,6km/h,22°,,58%,10km,8%,40,15°C,1015hPa,06:40:00,18:17:00,11:37:0,2020/01/12
36°,20°,13km/h,20°,,25%,10km,6%,34,4°C,1014hPa,06:41:00,18:18:00,11:37:0,2020/01/13
35°,18°,12km/h,18°,,23%,10km,2%,33,1°C,1014hPa,06:41:00,18:18:00,11:37:0,2020/01/14
37°,19°,12km/h,19°,,29%,10km,1%,35,4°C,1014hPa,06:41:00,18:19:00,11:38:0,2020/01/15
38°,19°,12km/h,19°,,27%,10km,2%,37,4°C,1015hPa,06:41:00,18:19:00,11:38:0,2020/01/16
37°,20°,16km/h,20°,,28%,10km,1%,36,4°C,1015hPa,06:42:00,18:20:00,11:38:0,2020/01/17
36°,19°,15km/h,19°,,28%,10km,2%,34,3°C,1016hPa,06:42:00,18:20:00,11:38:0,2020/01/18
37°,18°,14km/h,18°,,22%,10km,1%,36,1°C,1014hPa,06:42:00,18:20:00,11:38:0,2020/01/19
37°,20°,10km/h,20°,,23%,10km,14%,36,8°C,1013hPa,06:42:00,18:21:00,11:39:0,2020/01/20
36°,22°,12km/h,22°,,59%,10km,24%,37,18°C,1013hPa,06:42:00,18:21:00,11:39:0,2020/01/21
40°,26°,12km/h,26°,,48%,10km,21%,42,17°C,1013hPa,06:42:00,18:22:00,11:40:0,2020/01/22
39°,24°,16km/h,24°,,33%,10km,16%,38,8°C,1013hPa,06:42:00,18:22:00,11:40:0,2020/01/23
38°,21°,17km/h,21°,,16%,10km,4%,37,0°C,1014hPa,06:43:00,18:23:00,11:40:0,2020/01/24
37°,19°,15km/h,19°,,15%,10km,0%,36,,1015hPa,06:43:00,18:23:00,11:40:0,2020/01/25
37°,19°,12km/h,19°,,13%,10km,1%,35,,1015hPa,06:43:00,18:23:00,11:40:0,2020/01/26
36°,19°,14km/h,19°,,14%,10km,0%,35,,1015hPa,06:43:00,18:24:00,11:41:0,2020/01/27
37°,19°,12km/h,19°,,12%,10km,4%,35,,1015hPa,06:43:00,18:24:00,11:41:0,2020/01/28
38°,21°,13km/h,21°,,15%,10km,1%,37,,1015hPa,06:43:00,18:25:00,11:42:0,2020/01/29
38°,19°,16km/h,19°,,12%,10km,8%,37,,1015hPa,06:43:00,18:25:00,11:42:0,2020/01/30
38°,20°,17km/h,20°,,10%,10km,14%,37,,1015hPa,06:43:00,18:25:00,11:42:0,2020/01/31
37°,21°,4km/h,21°,,99%,7.75km,31%,37,22°C,1014hPa,06:34:00,18:20:00,11:46:0,2020/01/01
36°,21°,6km/h,21°,,100%,6.5km,39%,36,22°C,1015hPa,06:34:00,18:21:00,11:47:0,2020/01/02
36°,20°,8km/h,20°,,94%,9km,10%,37,20°C,1016hPa,06:35:00,18:21:00,11:46:0,2020/01/03
36°,20°,11km/h,20°,,31%,10km,7%,35,9°C,1015hPa,06:35:00,18:22:00,11:47:0,2020/01/04
39°,19°,5km/h,19°,,47%,10km,2%,40,9°C,1014hPa,06:35:00,18:22:00,11:47:0,2020/01/05
38°,20°,6km/h,20°,,90%,10km,3%,38,18°C,1013hPa,06:36:00,18:23:00,11:47:0,2020/01/06
39°,20°,7km/h,20°,,87%,10km,6%,38,19°C,1012hPa,06:36:00,18:23:00,11:47:0,2020/01/07
40°,21°,7km/h,21°,,90%,10km,24%,41,19°C,1013hPa,06:37:00,18:24:00,11:47:0,2020/01/08
40°,21°,6km/h,21°,,87%,10km,29%,42,20°C,1013hPa,06:37:00,18:24:00,11:47:0,2020/01/09
36°,22°,6km/h,22°,0mm,99%,8.75km,46%,38,22°C,1014hPa,06:37:00,18:25:00,11:48:0,2020/01/10
31°,22°,7km/h,22°,5mm,99%,7.375km,71%,34,22°C,1015hPa,06:38:00,18:25:00,11:47:0,2020/01/11
38°,21°,5km/h,21°,1mm,97%,8.75km,39%,42,21°C,1014hPa,06:38:00,18:26:00,11:48:0,2020/01/12
38°,22°,5km/h,22°,1mm,96%,9km,48%,42,22°C,1013hPa,06:38:00,18:26:00,11:48:0,2020/01/13
34°,23°,6km/h,23°,8mm,93%,8.125km,63%,36,23°C,1012hPa,06:38:00,18:27:00,11:49:0,2020/01/14
36°,22°,5km/h,22°,0mm,97%,8.75km,32%,38,22°C,1013hPa,06:39:00,18:27:00,11:48:0,2020/01/15
38°,21°,7km/h,21°,0mm,99%,8.75km,26%,37,22°C,1014hPa,06:39:00,18:27:00,11:48:0,2020/01/16
38°,24°,6km/h,24°,1mm,87%,7.5km,51%,40,23°C,1014hPa,06:39:00,18:28:00,11:49:0,2020/01/17
36°,22°,5km/h,22°,0mm,99%,8.75km,33%,39,22°C,1014hPa,06:40:00,18:28:00,11:48:0,2020/01/18
35°,22°,6km/h,22°,1mm,99%,7.25km,74%,36,22°C,1014hPa,06:40:00,18:29:00,11:49:0,2020/01/19
34°,22°,9km/h,22°,0mm,99%,7.75km,48%,36,22°C,1012hPa,06:40:00,18:29:00,11:49:0,2020/01/20
36°,22°,7km/h,22°,2mm,99%,9.75km,55%,40,22°C,1013hPa,06:40:00,18:29:00,11:49:0,2020/01/21
35°,22°,6km/h,22°,16mm,99%,7km,63%,39,23°C,1013hPa,06:40:00,18:30:00,11:50:0,2020/01/22
37°,22°,8km/h,22°,0mm,99%,7.75km,41%,41,22°C,1013hPa,06:41:00,18:30:00,11:49:0,2020/01/23
35°,25°,4km/h,25°,1mm,89%,9km,54%,38,23°C,1013hPa,06:41:00,18:31:00,11:50:0,2020/01/24
39°,22°,4km/h,22°,0mm,99%,7.75km,30%,41,23°C,1014hPa,06:41:00,18:31:00,11:50:0,2020/01/25
37°,22°,7km/h,22°,1mm,100%,7.5km,51%,39,23°C,1015hPa,06:41:00,18:31:00,11:50:0,2020/01/26
38°,22°,7km/h,22°,1mm,99%,7.5km,52%,42,23°C,1014hPa,06:41:00,18:32:00,11:51:0,2020/01/27
37°,22°,6km/h,22°,0mm,98%,8.75km,32%,40,22°C,1014hPa,06:41:00,18:32:00,11:51:0,2020/01/28
39°,22°,5km/h,22°,1mm,95%,9km,33%,43,22°C,1014hPa,06:41:00,18:32:00,11:51:0,2020/01/29
37°,23°,6km/h,23°,1mm,97%,9km,39%,39,22°C,1015hPa,06:41:00,18:32:00,11:51:0,2020/01/30
38°,22°,7km/h,22°,1mm,99%,7.5km,49%,39,22°C,1015hPa,06:41:00,18:33:00,11:52:0,2020/01/31
30°,26°,11km/h,26°,3mm,83%,9.625km,57%,33,24°C,1013hPa,06:23:00,18:13:00,11:50:0,2020/01/01
32°,25°,15km/h,25°,0mm,81%,10km,12%,35,23°C,1014hPa,06:24:00,18:14:00,11:50:0,2020/01/02
